"Date","Real","Pred"
2018-03-05,0.00525,NA
2018-03-06,0.004865,NA
2018-03-07,0.00422,NA
2018-03-08,0.003915,NA
2018-03-09,0.004035,NA
2018-03-10,0.00403,NA
2018-03-11,0.004025,NA
2018-03-12,0.00409,NA
2018-03-13,0.003905,NA
2018-03-14,0.00365,NA
2018-03-15,0.003455,NA
2018-03-16,0.003435,NA
2018-03-17,0.00333,NA
2018-03-18,0.00323,NA
2018-03-19,0.00331,NA
2018-03-20,0.00352,NA
2018-03-21,0.003645,NA
2018-03-22,0.00359,NA
2018-03-23,0.00351,NA
2018-03-24,0.00346,NA
2018-03-25,0.0034,NA
2018-03-26,0.00332,NA
2018-03-27,0.00311,NA
2018-03-28,0.00307,NA
2018-03-29,0.00295,NA
2018-03-30,0.002765,NA
2018-03-31,0.002745,NA
2018-04-01,0.00271,NA
2018-04-02,0.002705,NA
2018-04-03,0.002925,NA
2018-04-04,0.002815,NA
2018-04-05,0.002735,NA
2018-04-06,0.002745,NA
2018-04-07,0.00276,NA
2018-04-08,0.002785,NA
2018-04-09,0.002765,NA
2018-04-10,0.002895,NA
2018-04-11,0.003245,NA
2018-04-12,0.0036,NA
2018-04-13,0.003895,NA
2018-04-14,0.00413,NA
2018-04-15,0.00445,NA
2018-04-16,0.00461,NA
2018-04-17,0.004635,NA
2018-04-18,0.005045,NA
2018-04-19,0.00563,NA
2018-04-20,0.005825,NA
2018-04-21,0.005615,NA
2018-04-22,0.00553,NA
2018-04-23,0.00555,NA
2018-04-24,0.005665,NA
2018-04-25,0.00543,NA
2018-04-26,0.005325,NA
2018-04-27,0.00554,NA
2018-04-28,0.005435,NA
2018-04-29,0.005435,NA
2018-04-30,0.00541,NA
2018-05-01,0.005175,NA
2018-05-02,0.00526,NA
2018-05-03,0.00546,NA
2018-05-04,0.00541,NA
2018-05-05,0.005245,NA
2018-05-06,0.005075,NA
2018-05-07,0.00499,NA
2018-05-08,0.005125,NA
2018-05-09,0.00513,NA
2018-05-10,0.004905,NA
2018-05-11,0.004475,NA
2018-05-12,0.004235,NA
2018-05-13,0.00438,NA
2018-05-14,0.00447,NA
2018-05-15,0.004545,NA
2018-05-16,0.004455,NA
2018-05-17,0.004265,NA
2018-05-18,0.004195,NA
2018-05-19,0.004245,NA
2018-05-20,0.004325,NA
2018-05-21,0.004355,NA
2018-05-22,0.004015,NA
2018-05-23,0.003595,NA
2018-05-24,0.003445,NA
2018-05-25,0.003535,NA
2018-05-26,0.00342,NA
2018-05-27,0.00341,NA
2018-05-28,0.00322,NA
2018-05-29,0.003315,NA
2018-05-30,0.00336,NA
2018-05-31,0.003365,NA
2018-06-01,0.003415,NA
2018-06-02,0.003535,NA
2018-06-03,0.003635,NA
2018-06-04,0.003535,NA
2018-06-05,0.00359,NA
2018-06-06,0.003705,NA
2018-06-07,0.003755,NA
2018-06-08,0.00372,NA
2018-06-09,0.003605,NA
2018-06-10,0.003315,NA
2018-06-11,0.00313,NA
2018-06-12,0.003105,NA
2018-06-13,0.002875,NA
2018-06-14,0.002815,NA
2018-06-15,0.002835,NA
2018-06-16,0.002865,NA
2018-06-17,0.00288,NA
2018-06-18,0.00294,NA
2018-06-19,0.003025,NA
2018-06-20,0.003035,NA
2018-06-21,0.002975,NA
2018-06-22,0.002745,NA
2018-06-23,0.002625,NA
2018-06-24,0.002585,NA
2018-06-25,0.00254,NA
2018-06-26,0.002495,NA
2018-06-27,0.00244,NA
2018-06-28,0.00235,NA
2018-06-29,0.002325,NA
2018-06-30,0.00246,NA
2018-07-01,0.00255,NA
2018-07-02,0.00266,NA
2018-07-03,0.002725,NA
2018-07-04,0.002655,NA
2018-07-05,0.002655,NA
2018-07-06,0.002625,NA
2018-07-07,0.00261,NA
2018-07-08,0.002625,NA
2018-07-09,0.002655,NA
2018-07-10,0.00248,NA
2018-07-11,0.00238,NA
2018-07-12,0.002335,NA
2018-07-13,0.002305,NA
2018-07-14,0.00235,NA
2018-07-15,0.002395,NA
2018-07-16,0.00262,NA
2018-07-17,0.00305,NA
2018-07-18,0.00349,NA
2018-07-19,0.003735,NA
2018-07-20,0.00361,NA
2018-07-21,0.003435,NA
2018-07-22,0.003515,NA
2018-07-23,0.003475,NA
2018-07-24,0.003555,NA
2018-07-25,0.003555,NA
2018-07-26,0.00349,NA
2018-07-27,0.003425,NA
2018-07-28,0.00349,NA
2018-07-29,0.003385,NA
2018-07-30,0.00336,NA
2018-07-31,0.003165,NA
2018-08-01,0.003055,NA
2018-08-02,0.003065,NA
2018-08-03,0.00299,NA
2018-08-04,0.00285,NA
2018-08-05,0.00291,NA
2018-08-06,0.00286,NA
2018-08-07,0.002735,NA
2018-08-08,0.00257,NA
2018-08-09,0.0025,NA
2018-08-10,0.00251,NA
2018-08-11,0.002415,NA
2018-08-12,0.00241,NA
2018-08-13,0.00234,NA
2018-08-14,0.0023,NA
2018-08-15,0.002275,NA
2018-08-16,0.002295,NA
2018-08-17,0.00242,NA
2018-08-18,0.00246,NA
2018-08-19,0.002445,NA
2018-08-20,0.002395,NA
2018-08-21,0.002415,NA
2018-08-22,0.002405,NA
2018-08-23,0.00232,NA
2018-08-24,0.00245,NA
2018-08-25,0.00242,NA
2018-08-26,0.00242,NA
2018-08-27,0.002485,NA
2018-08-28,0.00262,NA
2018-08-29,0.002645,NA
2018-08-30,0.002885,NA
2018-08-31,0.004005,NA
2018-09-01,0.00552,NA
2018-09-02,0.00563,NA
2018-09-03,0.00513,NA
2018-09-04,0.0053,NA
2018-09-05,0.00506,NA
2018-09-06,0.004915,NA
2018-09-07,0.00509,NA
2018-09-08,0.00547,NA
2018-09-09,0.005715,NA
2018-09-10,0.00636,NA
2018-09-11,0.006595,NA
2018-09-12,0.00636,NA
2018-09-13,0.00647,NA
2018-09-14,0.006325,NA
2018-09-15,0.00617,NA
2018-09-16,0.006405,NA
2018-09-17,0.006375,NA
2018-09-18,0.00609,NA
2018-09-19,0.005785,NA
2018-09-20,0.00565,NA
2018-09-21,0.00572,NA
2018-09-22,0.00575,NA
2018-09-23,0.00592,NA
2018-09-24,0.005825,NA
2018-09-25,0.005695,NA
2018-09-26,0.005735,NA
2018-09-27,0.00581,NA
2018-09-28,0.0059,NA
2018-09-29,0.00588,NA
2018-09-30,0.00592,NA
2018-10-01,0.00595,NA
2018-10-02,0.00587,NA
2018-10-03,0.005735,NA
2018-10-04,0.005635,NA
2018-10-05,0.00562,NA
2018-10-06,0.0056,NA
2018-10-07,0.00562,NA
2018-10-08,0.00565,NA
2018-10-09,0.005625,NA
2018-10-10,0.005555,NA
2018-10-11,0.0052,NA
2018-10-12,0.00507,NA
2018-10-13,0.005185,NA
2018-10-14,0.005165,NA
2018-10-15,0.005135,NA
2018-10-16,0.00508,NA
2018-10-17,0.00478,NA
2018-10-18,0.00443,NA
2018-10-19,0.00443,NA
2018-10-20,0.004555,NA
2018-10-21,0.00455,NA
2018-10-22,0.004425,NA
2018-10-23,0.00425,NA
2018-10-24,0.004035,NA
2018-10-25,0.003795,NA
2018-10-26,0.003885,NA
2018-10-27,0.004135,NA
2018-10-28,0.004145,NA
2018-10-29,0.00391,NA
2018-10-30,0.003855,NA
2018-10-31,0.00382,NA
2018-11-01,0.003785,NA
2018-11-02,0.003785,NA
2018-11-03,0.003785,NA
2018-11-04,0.00375,NA
2018-11-05,0.003665,NA
2018-11-06,0.00365,NA
2018-11-07,0.00368,NA
2018-11-08,0.00353,NA
2018-11-09,0.003225,NA
2018-11-10,0.00321,NA
2018-11-11,0.00324,NA
2018-11-12,0.00311,NA
2018-11-13,0.002985,NA
2018-11-14,0.00278,NA
2018-11-15,0.00274,NA
2018-11-16,0.002805,NA
2018-11-17,0.002625,NA
2018-11-18,0.00256,NA
2018-11-19,0.00248,NA
