Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Volatility;Active Addresses Count;Transaction Volume;Transactions Count
2018-03-24;0.0419;0.0538;0.0409;0.0494;416000000.0;3180000000.0;65748196924.21;;1.55;;;
2018-03-25;0.0492;0.0500;0.0444;0.0453;168000000.0;3110000000.0;65748186291.7;;1.54;;;
2018-03-26;0.0453;0.0466;0.0390;0.0439;185000000.0;2810000000.0;65748187931.1;;1.53;;;
2018-03-27;0.0439;0.0465;0.0402;0.0430;142000000.0;2880000000.0;65748185298.38;;1.53;;;
2018-03-28;0.0430;0.0503;0.0425;0.0491;121000000.0;3000000000.0;65748186159.64;;1.59;;;
2018-03-29;0.0490;0.0508;0.0423;0.0428;280000000.0;3110000000.0;65748188107.72;;1.65;;;
2018-03-30;0.0428;0.0462;0.0386;0.0412;225000000.0;2750000000.0;65748190321.03;;1.65;;;
2018-03-31;0.0413;0.0431;0.0334;0.0339;210000000.0;2430000000.0;65748188687.18;;1.76;;;
2018-04-01;0.0340;0.0348;0.0283;0.0323;136000000.0;2100000000.0;65748200482.28;;1.71;;;
2018-04-02;0.0322;0.0359;0.0307;0.0358;141000000.0;2190000000.0;65748194183.16;;1.73;;;
2018-04-03;0.0359;0.0361;0.0333;0.0347;109000000.0;2280000000.0;65748200816.75;;1.71;;;
2018-04-04;0.0347;0.0352;0.0294;0.0299;71530000.0;2100000000.0;65748195543.39;;1.77;;;
2018-04-05;0.0299;0.0506;0.0288;0.0395;689000000.0;2600000000.0;65748183397.08;;2.08;;;
2018-04-06;0.0395;0.0442;0.0352;0.0365;208000000.0;2570000000.0;65748107687.41;;2.09;;;
2018-04-07;0.0365;0.0383;0.0357;0.0368;77560000.0;2420000000.0;65748110868.76;;2.05;;;
2018-04-08;0.0368;0.0388;0.0365;0.0376;176000000.0;2460000000.0;65748113742.29;;2.04;;;
2018-04-09;0.0376;0.0381;0.0340;0.0356;243000000.0;2370000000.0;65748120376.89;;2.05;;;
2018-04-10;0.0356;0.0377;0.0348;0.0369;109000000.0;2390000000.0;65748119510.11;;2.04;;;
2018-04-11;0.0368;0.0376;0.0359;0.0361;89130000.0;2410000000.0;65748117316.18;;2;;;
2018-04-12;0.0362;0.0405;0.0351;0.0401;194000000.0;2480000000.0;65748115530.82;;2.02;;;
2018-04-13;0.0401;0.0441;0.0385;0.0391;147000000.0;2660000000.0;65748112519.49;;2.02;;;
2018-04-14;0.0390;0.0416;0.0387;0.0403;101000000.0;2650000000.0;65748118432.06;;1.96;;;
2018-04-15;0.0404;0.0439;0.0403;0.0432;103000000.0;2770000000.0;65748115684.23;;1.96;;;
2018-04-16;0.0433;0.0443;0.0401;0.0412;89650000.0;2730000000.0;65748112062.83;;1.97;;;
2018-04-17;0.0412;0.0440;0.0407;0.0419;147000000.0;2770000000.0;65748109989.53;;1.95;;;
2018-04-18;0.0419;0.0476;0.0419;0.0475;190000000.0;2970000000.0;65748117882.49;;1.99;;;
2018-04-19;0.0474;0.0515;0.0469;0.0489;193000000.0;3240000000.0;65748118469.06;;1.96;;;
2018-04-20;0.0489;0.0542;0.0482;0.0540;185000000.0;3350000000.0;65748115865.73;;1.9;;;
2018-04-21;0.0539;0.0566;0.0492;0.0533;253000000.0;3510000000.0;65748110825.7;;1.9;;;
2018-04-22;0.0533;0.0547;0.0511;0.0520;92050000.0;3500000000.0;65748117076.14;;1.9;;;
2018-04-23;0.0520;0.0587;0.0519;0.0586;167000000.0;3630000000.0;65748105379.61;;1.92;;;
2018-04-24;0.0586;0.0775;0.0571;0.0727;598000000.0;4420000000.0;65748108827.02;;1.99;;;
2018-04-25;0.0727;0.0806;0.0646;0.0697;585000000.0;4740000000.0;65748112524.81;;1.97;;;
2018-04-26;0.0693;0.0741;0.0659;0.0737;181000000.0;4560000000.0;65748110269.21;;1.97;;;
2018-04-27;0.0738;0.0796;0.0714;0.0735;252000000.0;4950000000.0;65748107324.05;;1.97;;;
2018-04-28;0.0733;0.0843;0.0730;0.0817;213000000.0;5280000000.0;65748112648.55;;1.95;;;
2018-04-29;0.0817;0.0892;0.0799;0.0881;276000000.0;5580000000.0;65748110385.01;;1.89;;;
2018-04-30;0.0883;0.101;0.0844;0.0927;587000000.0;6140000000.0;65748108632.23;;1.88;;;
2018-05-01;0.0927;0.0938;0.0843;0.0926;311000000.0;5860000000.0;65748108441.21;;1.74;;;
2018-05-02;0.0925;0.0927;0.0894;0.0911;132000000.0;5950000000.0;65748114769.89;;1.72;;;
2018-05-03;0.0912;0.0913;0.0832;0.0863;339000000.0;5730000000.0;65748113754.57;;1.72;;;
2018-05-04;0.0861;0.0889;0.0802;0.0858;311000000.0;5570000000.0;65748109590.89;;1.72;;;
2018-05-05;0.0857;0.0912;0.0854;0.0866;299000000.0;5790000000.0;65748113293.75;;1.61;;;
2018-05-06;0.0866;0.0869;0.0811;0.0841;160000000.0;5500000000.0;65748109314.9;;1.3;;;
2018-05-07;0.0841;0.0846;0.0785;0.0826;168000000.0;5350000000.0;65748108346.25;;1.26;;;
2018-05-08;0.0827;0.0860;0.0797;0.0824;167000000.0;5450000000.0;65748107969.38;;1.27;;;
2018-05-09;0.0824;0.0826;0.0781;0.0803;297000000.0;5290000000.0;65748110319.09;;1.28;;;
2018-05-10;0.0803;0.0817;0.0723;0.0726;393000000.0;5190000000.0;65748113161.71;;1.32;;;
2018-05-11;0.0725;0.0763;0.0631;0.0649;341000000.0;4510000000.0;65748107350.39;;1.39;;;
