Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume
2018-05-03;293.80;313.75;291.82;307.81;16940000.0;;;2230000.0;92073;11;1.18;524385;37140000.0
2018-05-04;307.69;307.77;292.14;294.88;10160000.0;;;2060000.0;83833;10;1.19;52599;27160000.0
2018-05-05;294.76;309.78;294.31;306.93;17120000.0;;;2200000.0;8322;11;1.11;52497;19680000.0
2018-05-06;306.02;311.10;286.29;290.77;9800000.0;;;2100000.0;78629;9;1.13;526229;16900000.0
2018-05-07;291.44;292.13;271.40;280.47;9450000.0;;;2000000.0;78351;8;1.13;526493;21960000.0
2018-05-08;280.89;290.84;270.67;274.01;9560000.0;;;1920000.0;80422;8;1.13;526594;22500000.0
2018-05-09;274.18;277.36;265.07;275.57;18370000.0;;;2020000.0;76344;8;1.13;526431;17670000.0
2018-05-10;275.59;287.98;261.77;261.86;29070000.0;;;1860000.0;76801;8;1.14;525041;12520000.0
2018-05-11;261.85;262.15;236.40;236.94;22460000.0;;;1680000.0;77122;7;1.2;522867;17450000.0
2018-05-12;237.32;252.81;229.40;245.65;21420000.0;;;1790000.0;85011;7;1.2;521037;14680000.0
2018-05-13;245.94;262.61;241.68;259.96;10370000.0;;;1840000.0;81772;7;1.07;521698;13050000.0
2018-05-14;259.76;371.74;243.60;310.94;135000000.0;;;2250000.0;91772;11;1.23;520643;103000000.0
2018-05-15;310.77;388.36;307.78;353.09;159000000.0;;;2500000.0;94612;13;1.29;524706;144000000.0
2018-05-16;353.08;377.31;324.82;366.23;174000000.0;;;2580000.0;121221;14;1.29;509461;315000000.0
2018-05-17;366.12;368.64;308.71;313.79;35470000.0;;;2270000.0;115707;11;1.39;483615;70920000.0
2018-05-18;313.82;365.23;302.43;358.83;219000000.0;;;2560000.0;88801;14;1.45;479532;97990000.0
2018-05-19;358.85;379.72;340.49;343.30;138000000.0;;;2410000.0;78765;13;1.42;47629;39140000.0
2018-05-20;342.92;360.38;334.78;350.55;23420000.0;;;2540000.0;7876;14;1.41;473249;33189999.999999996
2018-05-21;350.13;352.48;323.61;327.50;16190000.000000002;;;2320000.0;80697;12;1.42;474377;61560000.0
2018-05-22;327.71;349.52;306.81;311.67;34080000.0;;;2200000.0;101129;11;1.42;477683;98750000.0
2018-05-23;311.43;333.45;278.00;284.85;32860000.0;;;2080000.0;10795;7;1.45;48193;389000000.0
2018-05-24;285.09;299.08;267.53;295.37;17470000.0;;;2060000.0;107715;10;1.42;480345;497000000.0
2018-05-25;295.35;296.87;272.71;281.32;10090000.0;;;2040000.0;87707;6;1.41;477013;305000000.0
2018-05-26;281.08;285.38;270.17;270.42;6250000.0;;;1910000.0;75881;6;1.37;478142;165000000.0
2018-05-27;269.68;270.17;258.01;260.48;14630000.0;;;1870000.0;74783;6;1.36;479161;305000000.0
2018-05-28;260.39;264.49;220.08;227.87;15520000.0;;;1630000.0;78159;6;1.4;480255;531000000.0
2018-05-29;228.18;259.21;218.51;246.17;44500000.0;;;1740000.0;78624;6;1.42;480491;324000000.0
2018-05-30;246.29;256.29;234.30;240.35;8189999.999999999;;;1690000.0;96114;6;1.42;481698;137000000.0
2018-05-31;240.16;247.98;236.18;240.41;22610000.0;;;1770000.0;92952;6;1.42;482768;224000000.0
2018-06-01;240.53;241.71;232.59;238.48;35570000.0;;;1690000.0;98635;6;1.41;483378;560000000.0
2018-06-02;239.45;258.17;237.18;249.52;20720000.0;;;1810000.0;91753;6;1.42;483631;417000000.0
2018-06-03;249.28;259.36;247.99;252.93;15320000.0;;;1810000.0;92108;9;1.41;483961;396000000.0
2018-06-04;253.45;255.21;232.20;234.86;7620000.0;;;1670000.0;9644;6;1.43;482434;70960000.0
2018-06-05;234.89;240.90;226.88;238.16;5690000.0;;;1720000.0;9341;8;1.42;48338;44170000.0
2018-06-06;238.47;238.96;227.41;235.50;4940000.0;;;1680000.0;96516;8;1.41;477283;36520000.0
2018-06-07;235.50;241.50;232.10;236.36;4470000.0;;;1710000.0;94031;8;1.41;478005;15620000.0
2018-06-08;236.58;238.64;230.30;235.27;4380000.0;;;1680000.0;86845;9;1.4;479132;25770000.0
